Class,taugrant23,taugrant24,tausw8,tausw9,tausw6,tausw7,tausw4,tausw5,tausw2,tausw3,tausw1,taugrant26,taugrant30,tausw29,tausw28,taugrant25,tausw21,tausw20,tausw23,tausw22,tausw25,tausw24,tausw27,tausw26,taugrant15,taugrant14,taugrant17,taugrant16,taugrant11,taugrant10,taugrant13,taugrant12,taugrant19,taugrant18,taugrant9,taugrant8,taugrant5,taugrant4,taugrant7,taugrant6,taugrant1,taugrant3,taugrant2,tausw30,taugrant27,taugrant28,taugrant29,tausw18,tausw19,tausw14,tausw15,tausw16,tausw17,tausw10,tausw11,tausw12,tausw13,taugrant20,taugrant21,taugrant22
1,0,0,0.980869362655817,0.876856125596125,0.998374055046813,0.991512033580477,0.995005177257733,0.974211609435327,0.999742111122243,0.99977172669999,0.998894442726153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758638627445252,0.833349332624306,0,0.629145161414035,0,0,0.876856125596125,0.980869362655817,0.974211609435327,0.995005177257733,0.991512033580477,0.998374055046813,0.998894442726153,0.99977172669999,0.999742111122243,0,0,0,0,0,0,0,0,0,0,0.833349332624306,0.758638627445252,0.629145161414035,0,0,0,0
1,0,0,0.968776606150638,0.932209671681644,0.982501507854706,0.919379169154582,0.998537465448561,0.990066396699886,0.999737427707594,0.999574848685248,0.998849350035779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224129674132123,0,0,0.326584344096579,0.620612090212144,0.311314210996969,0.233605778394218,0,0,0.932209671681644,0.968776606150638,0.990066396699886,0.998537465448561,0.919379169154582,0.982501507854706,0.998849350035779,0.999574848685248,0.999737427707594,0,0,0,0,0,0,0.224129674132123,0,0,0,0.620612090212144,0.326584344096579,0.233605778394218,0.311314210996969,0,0,0
1,0,0,0.993513947105142,0.999269088623779,0.999986446416711,0.942166994835387,0.999251341199971,0.999976973488519,0.999996801582554,0.999970255540892,0.99999966423455,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608792164283031,0,0,0,0.982080272253704,0.932209671681644,0.959215607483683,0.571669966085117,0,0,0.999269088623779,0.993513947105142,0.999976973488519,0.999251341199971,0.942166994835387,0.999986446416711,0.99999966423455,0.999970255540892,0.999996801582554,0,0,0,0,0,0,0,0.608792164283031,0,0,0.932209671681644,0.982080272253704,0.571669966085117,0.959215607483683,0,0,0
1,0,0,0.886855371586867,0.84545559572668,0.962879557230138,0.933378698269282,0.937621753563102,0.884266089447278,0.995750609741541,0.988717585432631,0.993853857454284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404485255461236,0.596051290119666,0,0.134185809930909,0,0,0.84545559572668,0.886855371586867,0.884266089447278,0.937621753563102,0.933378698269282,0.962879557230138,0.993853857454284,0.988717585432631,0.995750609741541,0,0,0,0,0,0,0,0,0,0,0.596051290119666,0.404485255461236,0.134185809930909,0,0,0,0
1,0,0,0.864780594960973,0.815756631813364,0.956237458127739,0.922268447898446,0.935533963606054,0.859388214905087,0.993223177767824,0.987637078216778,0.994058703413471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404485255461236,0.533482128457086,0,0.134185809930909,0,0,0.815756631813364,0.864780594960973,0.859388214905087,0.935533963606054,0.922268447898446,0.956237458127739,0.994058703413471,0.987637078216778,0.993223177767824,0,0,0,0,0,0,0,0,0,0,0.533482128457086,0.404485255461236,0.134185809930909,0,0,0,0
1,0,0,0.970276758015591,0.793939591761527,0.953412460991473,0.996045227349062,0.997982431313303,0.994546965631292,0.999017435161072,0.999048364762323,0.999854440497322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289918730672226,0,0,0.89881166052312,0.959055489685472,0.875228297240011,0.889598924434131,0,0,0.793939591761527,0.970276758015591,0.994546965631292,0.997982431313303,0.996045227349062,0.953412460991473,0.999854440497322,0.999048364762323,0.999017435161072,0,0,0,0,0,0,0.0289918730672226,0,0,0,0.959055489685472,0.89881166052312,0.889598924434131,0.875228297240011,0,0,0
1,0,0,0.996100101190523,0.996341433145458,0.996862793905692,0.992572555735242,0.996615491245241,0.999187389950204,0.99989042568993,0.995323446323885,0.998710496191641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104615819148651,0,0,0.975502330524807,0.97306720822166,0.765762018248439,0.96771418925059,0,0,0.996341433145458,0.996100101190523,0.999187389950204,0.996615491245241,0.992572555735242,0.996862793905692,0.998710496191641,0.995323446323885,0.99989042568993,0,0,0,0,0,0,0.104615819148651,0,0,0,0.97306720822166,0.975502330524807,0.96771418925059,0.765762018248439,0,0,0
1,0,0,0.997739081016276,0.933507382321052,0.909909808247762,0.997949923938156,0.999765245484238,0.999913286083807,0.999993269466764,0.973645536907567,0.999994789607789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553906919203915,0,0,0.981355771720581,0.994381362553454,0.698824840508312,0.719206837336602,0,0,0.933507382321052,0.997739081016276,0.999913286083807,0.999765245484238,0.997949923938156,0.909909808247762,0.999994789607789,0.973645536907567,0.999993269466764,0,0,0,0,0,0,0.553906919203915,0,0,0,0.994381362553454,0.981355771720581,0.719206837336602,0.698824840508312,0,0,0
1,0,0,0.99885164771591,0.999399142822539,0.999712128617319,0.999987637699524,0.999999447522482,0.999943251492079,0.999996933133964,0.999848803224527,0.999999985143864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982292131368558,0.75479226239006,0.685279032976742,0.89105015988375,0.452627616603374,0.999913459330831,0.996282534951478,0.998188787622185,0.0299910032388201,0.59346624920045,0.999399142822539,0.99885164771591,0.999943251492079,0.999999447522482,0.999987637699524,0.999712128617319,0.999999985143864,0.999848803224527,0.999996933133964,0,0,0,0,0.59346624920045,0.0299910032388201,0.75479226239006,0.982292131368558,0.89105015988375,0.685279032976742,0.999913459330831,0.452627616603374,0.998188787622185,0.996282534951478,0,0,0
1,0,0,0.997471471796836,0.985622167960086,0.999712128617319,0.999775349602032,0.998546208023255,0.998950433167706,0.999683127561795,0.999445326105758,0.996312101409809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946494453700613,0.956748181305317,0,0.742038295707529,0,0,0.985622167960086,0.997471471796836,0.998950433167706,0.998546208023255,0.999775349602032,0.999712128617319,0.996312101409809,0.999445326105758,0.999683127561795,0,0,0,0,0,0,0,0,0,0,0.956748181305317,0.946494453700613,0.742038295707529,0,0,0,0
1,0,0,0.985099062988327,0.977453826768239,0.996184800191332,0.99125466684042,0.998383773647888,0.996169538116252,0.998206793327997,0.999527318703356,0.997844927550264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668485483829142,0,0,0.814077089733311,0.725423998412003,0.919533768910578,0.947730138551384,0,0,0.977453826768239,0.985099062988327,0.996169538116252,0.998383773647888,0.99125466684042,0.996184800191332,0.997844927550264,0.999527318703356,0.998206793327997,0,0,0,0,0,0,0.668485483829142,0,0,0,0.725423998412003,0.814077089733311,0.947730138551384,0.919533768910578,0,0,0
1,0,0,0.999317121985443,0.996477610086734,0.998377301051214,0.999190632585409,0.999852683390394,0.999973829190379,0.999957366666594,0.985507520808337,0.999918172217624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340802319617737,0,0,0.974262471607895,0.991875922783231,0.764102509819413,0.951367801015063,0,0,0.996477610086734,0.999317121985443,0.999973829190379,0.999852683390394,0.999190632585409,0.998377301051214,0.999918172217624,0.985507520808337,0.999957366666594,0,0,0,0,0,0,0.340802319617737,0,0,0,0.991875922783231,0.974262471607895,0.951367801015063,0.764102509819413,0,0,0
